"time","Ce","central.AUC","central.C","elim.MExc","infusion_source.TotalCumulativeMass","peripheral1.AUC","peripheral1.C","peripheral2.AUC","peripheral2.C","der(Ce)","der(central.AUC)","der(central.C)","der(elim.MExc)","der(infusion_source.TotalCumulativeMass)","der(peripheral1.AUC)","der(peripheral1.C)","der(peripheral2.AUC)","der(peripheral2.C)","der(central.M)","der(peripheral1.M)","der(peripheral2.M)","central.C_molar","central.M","central.cport.qm","elim.cport.qm","infusion_rate.y","infusion_source.cport.qm","peripheral1.C_molar","peripheral1.M","peripheral2.C_molar","peripheral2.M","transfer1.cport_a.qm","transfer2.cport_a.qm","central.Cmax","central.Cmin","peripheral1.Cmax","peripheral1.Cmin","peripheral2.Cmax","peripheral2.Cmin","central.cport.c","elim.C","elim.cport.c","infusion_source.cport.c","infusion_source.massFlow","peripheral1.cport.c","peripheral1.cport.qm","peripheral2.cport.c","peripheral2.cport.qm","transfer1.cA","transfer1.cB","transfer1.cport_a.c","transfer1.cport_b.c","transfer1.cport_b.qm","transfer2.cA","transfer2.cB","transfer2.cport_a.c","transfer2.cport_b.c","transfer2.cport_b.qm"
0,0,0,0,0,0,0,0,0,0,0,0,0.0001461988304093567,0,2.333333333333334e-06,0,-0,0,-0,2.333333333333334e-06,-0,-0,0,0,2.333333333333334e-06,0,2.333333333333334e-06,-2.333333333333334e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333333333333334e-06,0,-0,0,-0,0,0,0,0,-0,0,0,0,0,-0
0.0007462236522050966,2.256466973766995e-11,1.119140727221639e-09,1.090919349711952e-07,3.542528057947377e-14,1.74118852181189e-09,1.052407929073954e-14,1.025869352880486e-12,6.314503391440453e-16,6.155270526742154e-14,2.199565634412726e-09,1.090919349711952e-07,0.0001461983342248304,3.453196109578212e-12,2.333333333333334e-06,1.025869352880486e-12,1.000000000100221e-10,6.155270526742154e-14,6.000053038016945e-12,2.333325414228294e-06,3.250036363962086e-12,1.215872565998437e-12,1.090919349711952e-07,1.741107282140275e-09,2.333325414228294e-06,3.453196109578212e-12,2.333333333333334e-06,-2.333333333333334e-06,1.025869352880486e-12,3.334112701201683e-14,6.155270526742154e-14,1.247326402340945e-14,-3.250036363962086e-12,-1.215872565998437e-12,0,0,0,0,0,0,1.090919349711952e-07,1.090919349711952e-07,1.090919349711952e-07,1.090919349711952e-07,2.333333333333334e-06,1.025869352880486e-12,3.250036363962086e-12,6.155270526742154e-14,1.215872565998437e-12,1.025869352880486e-12,1.090919349711952e-07,1.025869352880486e-12,1.090919349711952e-07,3.250036363962086e-12,6.155270526742154e-14,1.090919349711952e-07,6.155270526742154e-14,1.090919349711952e-07,1.215872565998437e-12
0.0007462236522050966,2.256466973766995e-11,1.119140727221639e-09,1.090919349711952e-07,3.542528057947377e-14,1.74118852181189e-09,1.052407929073954e-14,1.025869352880486e-12,6.314503391440453e-16,6.155270526742154e-14,2.199565634412726e-09,1.090919349711952e-07,0.0001461983342248304,3.453196109578212e-12,2.333333333333334e-06,1.025869352880486e-12,1.000000000100221e-10,6.155270526742154e-14,6.000053038016945e-12,2.333325414228294e-06,3.250036363962086e-12,1.215872565998437e-12,1.090919349711952e-07,1.741107282140275e-09,2.333325414228294e-06,3.453196109578212e-12,2.333333333333334e-06,-2.333333333333334e-06,1.025869352880486e-12,3.334112701201683e-14,6.155270526742154e-14,1.247326402340945e-14,-3.250036363962086e-12,-1.215872565998437e-12,0,0,0,1.025869352880486e-12,0,0,1.090919349711952e-07,1.090919349711952e-07,1.090919349711952e-07,1.090919349711952e-07,2.333333333333334e-06,1.025869352880486e-12,3.250036363962086e-12,6.155270526742154e-14,1.215872565998437e-12,1.025869352880486e-12,1.090919349711952e-07,1.025869352880486e-12,1.090919349711952e-07,3.250036363962086e-12,6.155270526742154e-14,1.090919349711952e-07,6.155270526742154e-14,1.090919349711952e-07,1.215872565998437e-12
0.01243702228430626,4.217541673983326e-10,2.091827622274251e-08,1.818182968868186e-06,6.621471155546909e-13,2.901971866338129e-08,2.2034079856018e-13,1.917488455844864e-11,1.322057773312011e-14,1.150504465119061e-12,3.665818449646588e-08,1.818182968868186e-06,0.0001461905607437499,5.755276369655357e-11,2.333333333333334e-06,1.917488455844864e-11,1.666650144484992e-09,1.150504465119061e-12,1.000000000100046e-10,2.333201349470248e-06,5.416673575036025e-11,2.026436363839101e-11,1.818182968868186e-06,2.901820018313626e-08,2.333201349470248e-06,5.755276369655357e-11,2.333333333333334e-06,-2.333333333333334e-06,1.917488455844864e-11,6.231907208348747e-13,1.150504465119061e-12,2.33142408464327e-13,-5.416673575036025e-11,-2.026436363839101e-11,0,0,0,1.025869352880486e-12,0,0,1.818182968868186e-06,1.818182968868186e-06,1.818182968868186e-06,1.818182968868186e-06,2.333333333333334e-06,1.917488455844864e-11,5.416673575036025e-11,1.150504465119061e-12,2.026436363839101e-11,1.917488455844864e-11,1.818182968868186e-06,1.917488455844864e-11,1.818182968868186e-06,5.416673575036025e-11,1.150504465119061e-12,1.818182968868186e-06,1.150504465119061e-12,1.818182968868186e-06,2.026436363839101e-11
0.01243702228430626,4.217541673983326e-10,2.091827622274251e-08,1.818182968868186e-06,6.621471155546909e-13,2.901971866338129e-08,2.2034079856018e-13,1.917488455844864e-11,1.322057773312011e-14,1.150504465119061e-12,3.665818449646588e-08,1.818182968868186e-06,0.0001461905607437499,5.755276369655357e-11,2.333333333333334e-06,1.917488455844864e-11,1.666650144484992e-09,1.150504465119061e-12,1.000000000100046e-10,2.333201349470248e-06,5.416673575036025e-11,2.026436363839101e-11,1.818182968868186e-06,2.901820018313626e-08,2.333201349470248e-06,5.755276369655357e-11,2.333333333333334e-06,-2.333333333333334e-06,1.917488455844864e-11,6.231907208348747e-13,1.150504465119061e-12,2.33142408464327e-13,-5.416673575036025e-11,-2.026436363839101e-11,0,0,0,1.025869352880486e-12,0,1.150504465119061e-12,1.818182968868186e-06,1.818182968868186e-06,1.818182968868186e-06,1.818182968868186e-06,2.333333333333334e-06,1.917488455844864e-11,5.416673575036025e-11,1.150504465119061e-12,2.026436363839101e-11,1.917488455844864e-11,1.818182968868186e-06,1.917488455844864e-11,1.818182968868186e-06,5.416673575036025e-11,1.150504465119061e-12,1.818182968868186e-06,1.150504465119061e-12,1.818182968868186e-06,2.026436363839101e-11
14.4,0.0002718764916461959,0.01483116813394447,0.002037931544530118,4.694657961118736e-07,3.360000000000001e-05,6.574267973007787e-05,1.353497333305821e-05,3.957078617156453e-06,8.15496608042993e-07,3.561544356649244e-05,0.002037931544530118,0.0001369554732063386,6.450868511055636e-08,2.333333333333334e-06,1.353497333305821e-05,1.855696856930638e-06,8.15496608042993e-07,1.120413826357141e-07,2.185809352373164e-06,6.031082264910282e-08,2.27044732005107e-08,0.002037931544530118,3.252538745070069e-05,2.185809352373164e-06,6.450868511055636e-08,2.333333333333334e-06,-2.333333333333334e-06,1.353497333305821e-05,4.398915551328765e-07,8.15496608042993e-07,1.652551980960432e-07,-6.031082264910282e-08,-2.27044732005107e-08,0,0,0,1.025869352880486e-12,0,1.150504465119061e-12,0.002037931544530118,0.002037931544530118,0.002037931544530118,0.002037931544530118,2.333333333333334e-06,1.353497333305821e-05,6.031082264910282e-08,8.15496608042993e-07,2.27044732005107e-08,1.353497333305821e-05,0.002037931544530118,1.353497333305821e-05,0.002037931544530118,6.031082264910282e-08,8.15496608042993e-07,0.002037931544530118,8.15496608042993e-07,0.002037931544530118,2.27044732005107e-08
28.8,0.0009722844151811692,0.0580761800016116,0.003947355773368563,1.838343401771017e-06,6.720000000000002e-05,0.0005130272377711712,5.276622336686587e-05,3.097676519913123e-05,3.19248617800249e-06,5.999727239011244e-05,0.003947355773368563,0.0001283456669366178,1.249495996502085e-07,2.333333333333334e-06,5.276622336686587e-05,3.57004042083489e-06,3.19248617800249e-06,2.169289807954809e-07,2.048396844308421e-06,1.160276118736506e-07,4.395927750105368e-08,0.003947355773368563,6.299979814296228e-05,2.048396844308421e-06,1.249495996502085e-07,2.333333333333334e-06,-2.333333333333334e-06,5.276622336686587e-05,1.714921447140729e-06,3.19248617800249e-06,6.469370081510719e-07,-1.160276118736506e-07,-4.395927750105368e-08,0,0,0,1.025869352880486e-12,0,1.150504465119061e-12,0.003947355773368563,0.003947355773368563,0.003947355773368563,0.003947355773368563,2.333333333333334e-06,5.276622336686587e-05,1.160276118736506e-07,3.19248617800249e-06,4.395927750105368e-08,5.276622336686587e-05,0.003947355773368563,5.276622336686587e-05,0.003947355773368563,1.160276118736506e-07,3.19248617800249e-06,0.003947355773368563,3.19248617800249e-06,0.003947355773368563,4.395927750105368e-08
43.2,0.001961347876750324,0.127944288879898,0.005737098556095212,4.049948520204323e-06,0.0001008000000000001,0.001698490644194961,0.0001157253150493868,0.0001028741700027281,7.031277809043183e-06,7.614430536678856e-05,0.005737098556095212,0.0001203255245738125,1.816021176946378e-07,2.333333333333334e-06,0.0001157253150493868,5.152925470958673e-06,7.031277809043183e-06,3.151537003057393e-07,1.920395372198048e-06,1.674719515972373e-07,6.386389184341066e-08,0.005737098556095212,9.156409295527959e-05,1.920395372198048e-06,1.816021176946378e-07,2.333333333333334e-06,-2.333333333333334e-06,0.0001157253150493868,3.761114821037817e-06,7.031277809043183e-06,1.424843703507452e-06,-1.674719515972373e-07,-6.386389184341066e-08,0,0,0,1.025869352880486e-12,0,1.150504465119061e-12,0.005737098556095212,0.005737098556095212,0.005737098556095212,0.005737098556095212,2.333333333333334e-06,0.0001157253150493868,1.674719515972373e-07,7.031277809043183e-06,6.386389184341066e-08,0.0001157253150493868,0.005737098556095212,0.0001157253150493868,0.005737098556095212,1.674719515972373e-07,7.031277809043183e-06,0.005737098556095212,7.031277809043183e-06,0.005737098556095212,6.386389184341066e-08
57.6,0.003136899091908253,0.2227713936971998,0.00741535618446064,7.051605696091202e-06,0.0001344000000000001,0.003950619119014389,0.0002005857100299897,0.0002400279575959723,1.223922511567691e-05,8.62822180331398e-05,0.00741535618446064,0.00011285429241463,2.347256846629171e-07,2.333333333333334e-06,0.0002005857100299897,6.613539601561429e-06,1.223922511567691e-05,4.07171432763973e-07,1.801154506937495e-06,2.14942441974238e-07,8.251069975868334e-08,0.00741535618446064,0.0001183490847039918,1.801154506937495e-06,2.347256846629171e-07,2.333333333333334e-06,-2.333333333333334e-06,0.0002005857100299897,6.519108516232859e-06,1.223922511567691e-05,2.480201083713918e-06,-2.14942441974238e-07,-8.251069975868334e-08,0,0,0,1.025869352880486e-12,0,1.150504465119061e-12,0.00741535618446064,0.00741535618446064,0.00741535618446064,0.00741535618446064,2.333333333333334e-06,0.0002005857100299897,2.14942441974238e-07,1.223922511567691e-05,8.251069975868334e-08,0.0002005857100299897,0.00741535618446064,0.0002005857100299897,0.00741535618446064,2.14942441974238e-07,1.223922511567691e-05,0.00741535618446064,1.223922511567691e-05,0.00741535618446064,8.251069975868334e-08
60.00000001200074,0.003345420766899531,0.2408920025202494,0.007684770797529304,7.625195447776011e-06,0.0001400000000280018,0.004451321681720585,0.0002167372907686382,0.0002705902652613398,1.323417767402307e-05,8.751022561770042e-05,0.007684770797529304,0.0001116597493754381,2.432537348249926e-07,2.333333333333334e-06,0.0002167372907686382,6.845697381197277e-06,1.323417767402307e-05,4.219345140920405e-07,1.782089600031992e-06,2.224876542334138e-07,8.550234424293506e-08,0.007684770797529304,0.0001226489419285677,1.782089600031992e-06,2.432537348249926e-07,2.333333333333334e-06,-2.333333333333334e-06,0.0002167372907686382,7.044040763541022e-06,1.323417767402307e-05,2.681821888146485e-06,-2.224876542334138e-07,-8.550234424293506e-08,0,0,0,1.025869352880486e-12,0,1.150504465119061e-12,0.007684770797529304,0.007684770797529304,0.007684770797529304,0.007684770797529304,2.333333333333334e-06,0.0002167372907686382,2.224876542334138e-07,1.323417767402307e-05,8.550234424293506e-08,0.0002167372907686382,0.007684770797529304,0.0002167372907686382,0.007684770797529304,2.224876542334138e-07,1.323417767402307e-05,0.007684770797529304,1.323417767402307e-05,0.007684770797529304,8.550234424293506e-08
