"time","Ce","central.AUC","central.C","elim.MExc","infusion_source.TotalCumulativeMass","peripheral1.AUC","peripheral1.C","peripheral2.AUC","peripheral2.C","der(Ce)","der(central.AUC)","der(central.C)","der(elim.MExc)","der(infusion_source.TotalCumulativeMass)","der(peripheral1.AUC)","der(peripheral1.C)","der(peripheral2.AUC)","der(peripheral2.C)","der(central.M)","der(peripheral1.M)","der(peripheral2.M)","central.C_molar","central.M","central.cport.qm","elim.cport.qm","infusion_rate.y","infusion_source.cport.qm","peripheral1.C_molar","peripheral1.M","peripheral2.C_molar","peripheral2.M","transfer1.cport_a.qm","transfer2.cport_a.qm","central.Cmax","central.Cmin","peripheral1.Cmax","peripheral1.Cmin","peripheral2.Cmax","peripheral2.Cmin","central.cport.c","elim.C","elim.cport.c","infusion_source.cport.c","infusion_source.massFlow","peripheral1.cport.c","peripheral1.cport.qm","peripheral2.cport.c","peripheral2.cport.qm","transfer1.cA","transfer1.cB","transfer1.cport_a.c","transfer1.cport_b.c","transfer1.cport_b.qm","transfer2.cA","transfer2.cB","transfer2.cport_a.c","transfer2.cport_b.c","transfer2.cport_b.qm"
0,0,0,0,0,0,0,0,0,0,0,0,0.0003715498938428875,0,2.333333333333334e-06,0,-0,0,-0,2.333333333333334e-06,-0,-0,0,0,2.333333333333334e-06,0,2.333333333333334e-06,-2.333333333333334e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333333333333334e-06,0,-0,0,-0,0,0,0,0,-0,0,0,0,0,-0
0.0002217988340760022,8.095066956256762e-13,3.326772525334285e-10,8.240575683602953e-08,8.852003928709997e-15,5.175306128440049e-10,1.629787968830757e-15,4.03706325067292e-13,1.049339566818167e-16,2.599264618279052e-14,2.005187051680458e-10,8.240575683602953e-08,0.0003715490079465785,2.192683983367724e-12,2.333333333333334e-06,4.03706325067292e-13,1.000000000100021e-10,2.599264618279052e-14,6.438503578325806e-12,2.333327769904513e-06,2.35865928792194e-12,1.012085549511449e-12,8.240575683602953e-08,5.175081529302654e-10,2.333327769904513e-06,2.192683983367724e-12,2.333333333333334e-06,-2.333333333333334e-06,4.03706325067292e-13,9.522056731175619e-15,2.599264618279052e-14,4.085853378061913e-15,-2.35865928792194e-12,-1.012085549511449e-12,0,0,0,0,0,0,8.240575683602953e-08,8.240575683602953e-08,8.240575683602953e-08,8.240575683602953e-08,2.333333333333334e-06,4.03706325067292e-13,2.35865928792194e-12,2.599264618279052e-14,1.012085549511449e-12,4.03706325067292e-13,8.240575683602953e-08,4.03706325067292e-13,8.240575683602953e-08,2.35865928792194e-12,2.599264618279052e-14,8.240575683602953e-08,2.599264618279052e-14,8.240575683602953e-08,1.012085549511449e-12
0.0002217988340760022,8.095066956256762e-13,3.326772525334285e-10,8.240575683602953e-08,8.852003928709997e-15,5.175306128440049e-10,1.629787968830757e-15,4.03706325067292e-13,1.049339566818167e-16,2.599264618279052e-14,2.005187051680458e-10,8.240575683602953e-08,0.0003715490079465785,2.192683983367724e-12,2.333333333333334e-06,4.03706325067292e-13,1.000000000100021e-10,2.599264618279052e-14,6.438503578325806e-12,2.333327769904513e-06,2.35865928792194e-12,1.012085549511449e-12,8.240575683602953e-08,5.175081529302654e-10,2.333327769904513e-06,2.192683983367724e-12,2.333333333333334e-06,-2.333333333333334e-06,4.03706325067292e-13,9.522056731175619e-15,2.599264618279052e-14,4.085853378061913e-15,-2.35865928792194e-12,-1.012085549511449e-12,0,0,0,4.03706325067292e-13,0,0,8.240575683602953e-08,8.240575683602953e-08,8.240575683602953e-08,8.240575683602953e-08,2.333333333333334e-06,4.03706325067292e-13,2.35865928792194e-12,2.599264618279052e-14,1.012085549511449e-12,4.03706325067292e-13,8.240575683602953e-08,4.03706325067292e-13,8.240575683602953e-08,2.35865928792194e-12,2.599264618279052e-14,8.240575683602953e-08,2.599264618279052e-14,8.240575683602953e-08,1.012085549511449e-12
0.003444889481073808,1.321921377648381e-11,5.432609582811598e-09,1.279889918176758e-06,1.44552959374266e-13,8.038075455838887e-09,2.791562549990524e-14,6.592510633596734e-12,1.797348930560904e-15,4.244591281258644e-13,3.114366634143256e-09,1.279889918176758e-06,0.000371536134493133,3.405580182515829e-11,2.333333333333334e-06,6.592510633596734e-12,1.553155562332981e-09,4.244591281258644e-13,1.000000000100021e-10,2.333246924616875e-06,3.663364792317895e-11,1.571926671004274e-11,1.279889918176758e-06,8.037708686150044e-09,2.333246924616875e-06,3.405580182515829e-11,2.333333333333334e-06,-2.333333333333334e-06,6.592510633596734e-12,1.554948643510182e-13,4.244591281258644e-13,6.672186241855307e-14,-3.663364792317895e-11,-1.571926671004274e-11,0,0,0,4.03706325067292e-13,0,0,1.279889918176758e-06,1.279889918176758e-06,1.279889918176758e-06,1.279889918176758e-06,2.333333333333334e-06,6.592510633596734e-12,3.663364792317895e-11,4.244591281258644e-13,1.571926671004274e-11,6.592510633596734e-12,1.279889918176758e-06,6.592510633596734e-12,1.279889918176758e-06,3.663364792317895e-11,4.244591281258644e-13,1.279889918176758e-06,4.244591281258644e-13,1.279889918176758e-06,1.571926671004274e-11
0.003444889481073808,1.321921377648381e-11,5.432609582811598e-09,1.279889918176758e-06,1.44552959374266e-13,8.038075455838887e-09,2.791562549990524e-14,6.592510633596734e-12,1.797348930560904e-15,4.244591281258644e-13,3.114366634143256e-09,1.279889918176758e-06,0.000371536134493133,3.405580182515829e-11,2.333333333333334e-06,6.592510633596734e-12,1.553155562332981e-09,4.244591281258644e-13,1.000000000100021e-10,2.333246924616875e-06,3.663364792317895e-11,1.571926671004274e-11,1.279889918176758e-06,8.037708686150044e-09,2.333246924616875e-06,3.405580182515829e-11,2.333333333333334e-06,-2.333333333333334e-06,6.592510633596734e-12,1.554948643510182e-13,4.244591281258644e-13,6.672186241855307e-14,-3.663364792317895e-11,-1.571926671004274e-11,0,0,0,4.03706325067292e-13,0,4.244591281258644e-13,1.279889918176758e-06,1.279889918176758e-06,1.279889918176758e-06,1.279889918176758e-06,2.333333333333334e-06,6.592510633596734e-12,3.663364792317895e-11,4.244591281258644e-13,1.571926671004274e-11,6.592510633596734e-12,1.279889918176758e-06,6.592510633596734e-12,1.279889918176758e-06,3.663364792317895e-11,4.244591281258644e-13,1.279889918176758e-06,4.244591281258644e-13,1.279889918176758e-06,1.571926671004274e-11
14.4,8.803016909239953e-05,0.0366072533389372,0.00495778443978548,9.740598369976717e-07,3.360000000000002e-05,0.0002156347975329929,4.416171663968402e-05,1.394133306465319e-05,2.859099335462554e-06,1.184973539201983e-05,0.00495778443978548,0.0003184583957723645,1.319186298566265e-07,2.333333333333334e-06,4.416171663968402e-05,5.96274700249547e-06,2.859099335462554e-06,3.871369649697877e-07,1.999918725450449e-06,1.406408859755795e-07,6.085509205067887e-08,0.00495778443978548,3.113488628185282e-05,1.999918725450449e-06,1.319186298566265e-07,2.333333333333334e-06,-2.333333333333334e-06,4.416171663968402e-05,1.041624431123492e-06,2.859099335462554e-06,4.49429450001466e-07,-1.406408859755795e-07,-6.085509205067887e-08,0,0,0,4.03706325067292e-13,0,4.244591281258644e-13,0.00495778443978548,0.00495778443978548,0.00495778443978548,0.00495778443978548,2.333333333333334e-06,4.416171663968402e-05,1.406408859755795e-07,2.859099335462554e-06,6.085509205067887e-08,4.416171663968402e-05,0.00495778443978548,4.416171663968402e-05,0.00495778443978548,1.406408859755795e-07,2.859099335462554e-06,0.00495778443978548,2.859099335462554e-06,0.00495778443978548,6.085509205067887e-08
28.8,0.0003312056445260016,0.1393926560414289,0.009209837375972625,3.70901325388342e-06,6.720000000000002e-05,0.001650670372547141,0.0001671517449429171,0.0001071618543124447,1.088261876394253e-05,2.160467054652012e-05,0.009209837375972625,0.0002733232018114489,2.450588851929243e-07,2.333333333333334e-06,0.0001671517449429171,1.097342015839814e-05,1.088261876394253e-05,7.187303906534175e-07,1.716469707375899e-06,2.588255937428683e-07,1.129791470216425e-07,0.009209837375972625,5.783777872110809e-05,1.716469707375899e-06,2.450588851929243e-07,2.333333333333334e-06,-2.333333333333334e-06,0.0001671517449429171,3.94254015662537e-06,1.088261876394253e-05,1.710667868370179e-06,-2.588255937428683e-07,-1.129791470216425e-07,0,0,0,4.03706325067292e-13,0,4.244591281258644e-13,0.009209837375972625,0.009209837375972625,0.009209837375972625,0.009209837375972625,2.333333333333334e-06,0.0001671517449429171,2.588255937428683e-07,1.088261876394253e-05,1.129791470216425e-07,0.0001671517449429171,0.009209837375972625,0.0001671517449429171,0.009209837375972625,2.588255937428683e-07,1.088261876394253e-05,0.009209837375972625,1.088261876394253e-05,0.009209837375972625,1.129791470216425e-07
43.2,0.0007017510332581273,0.2989712128196952,0.01286193598203061,7.955140696567806e-06,0.0001008,0.005347181463564121,0.0003563166957409979,0.0003486020121307929,2.333190578586453e-05,2.958978337534636e-05,0.01286193598203061,0.0002349480452195124,3.422353256097873e-07,2.333333333333334e-06,0.0003563166957409979,1.517573654208704e-05,2.333190578586453e-05,1.003102544442117e-06,1.475473723978538e-06,3.57943919424698e-07,1.576803643203099e-07,0.01286193598203061,8.077295796715221e-05,1.475473723978538e-06,3.422353256097873e-07,2.333333333333334e-06,-2.333333333333334e-06,0.0003563166957409979,8.404296837671001e-06,2.333190578586453e-05,3.667604498649101e-06,-3.57943919424698e-07,-1.576803643203099e-07,0,0,0,4.03706325067292e-13,0,4.244591281258644e-13,0.01286193598203061,0.01286193598203061,0.01286193598203061,0.01286193598203061,2.333333333333334e-06,0.0003563166957409979,3.57943919424698e-07,2.333190578586453e-05,1.576803643203099e-07,0.0003563166957409979,0.01286193598203061,0.0003563166957409979,0.01286193598203061,3.57943919424698e-07,2.333190578586453e-05,0.01286193598203061,2.333190578586453e-05,0.01286193598203061,1.576803643203099e-07
57.6,0.001176218827249588,0.5073676133629592,0.01600391528810444,1.35002320494927e-05,0.0001344,0.01217870624640843,0.0006009183728472452,0.0007973531972462754,3.957921857338819e-05,3.608072805474679e-05,0.01600391528810444,0.00020231699019251,4.258383160441734e-07,2.333333333333334e-06,0.0006009183728472452,1.869174311109836e-05,3.957921857338819e-05,1.24732144060008e-06,1.270550698408963e-06,4.408745349203342e-07,1.960697839598628e-07,0.01600391528810444,0.0001005045880092959,1.270550698408963e-06,4.258383160441734e-07,2.333333333333334e-06,-2.333333333333334e-06,0.0006009183728472452,1.417361701257329e-05,3.957921857338819e-05,6.221562928679375e-06,-4.408745349203342e-07,-1.960697839598628e-07,0,0,0,4.03706325067292e-13,0,4.244591281258644e-13,0.01600391528810444,0.01600391528810444,0.01600391528810444,0.01600391528810444,2.333333333333334e-06,0.0006009183728472452,4.408745349203342e-07,3.957921857338819e-05,1.960697839598628e-07,0.0006009183728472452,0.01600391528810444,0.0006009183728472452,0.01600391528810444,4.408745349203342e-07,3.957921857338819e-05,0.01600391528810444,3.957921857338819e-05,0.01600391528810444,1.960697839598628e-07
60.00000001200077,0.001263963166400244,0.5463547387892828,0.01648352009714093,1.453761643575528e-05,0.0001400000000280018,0.01367527242796288,0.0006464136687529755,0.0008959727339239558,4.261764541292578e-05,3.703425519813567e-05,0.01648352009714093,0.000197374325384435,4.385998247481463e-07,2.333333333333334e-06,0.0006464136687529755,1.921854082106133e-05,4.261764541292578e-05,1.284556403820254e-06,1.239510763414252e-06,4.532998980336931e-07,2.019228471372428e-07,0.01648352009714093,0.000103516506210045,1.239510763414252e-06,4.385998247481463e-07,2.333333333333334e-06,-2.333333333333334e-06,0.0006464136687529755,1.524669603491403e-05,4.261764541292578e-05,6.699181347328038e-06,-4.532998980336931e-07,-2.019228471372428e-07,0,0,0,4.03706325067292e-13,0,4.244591281258644e-13,0.01648352009714093,0.01648352009714093,0.01648352009714093,0.01648352009714093,2.333333333333334e-06,0.0006464136687529755,4.532998980336931e-07,4.261764541292578e-05,2.019228471372428e-07,0.0006464136687529755,0.01648352009714093,0.0006464136687529755,0.01648352009714093,4.532998980336931e-07,4.261764541292578e-05,0.01648352009714093,4.261764541292578e-05,0.01648352009714093,2.019228471372428e-07
